,source,author,title,description,urlToImage,publishedAt,content
0,"{'id': 'engadget', 'name': 'Engadget'}",https://www.engadget.com/about/editors/steve-dent,Taiwanese horror game ‘Devotion’ returns after China controversy,"After it was pulled from Steam and GOG, the Taiwanese horror game 'Devotion' is back on sale.",https://s.yimg.com/uu/api/res/1.2/2Vzy.m97AW.ssxDqgdI9HQ--~B/aD02Nzk7dz0xMDk5O2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2021-03/29e43fd0-857e-11eb-9dd7-d9e6bd79aab6.cf.jpg,2021-03-15T11:39:12Z,"After it was pulled from Steam and GOG, the Taiwanese horror game Devotion is back on sale. Developer Red Candle Games has launched its own store featuring Devotion and its first game, Detention, bot… [+897 chars]"
1,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Rita Liao,Qualcomm veteran to replace Alain Crozier as Microsoft Greater China boss,"Microsoft gets a new leader for its Greater China business. Yang Hou, a former executive at Qualcomm, will take over Alain Crozier as the chairman and chief executive officer for Microsoft Greater China Region, according to a company announcement released Mon…",https://techcrunch.com/wp-content/uploads/2021/02/hou-yang-microsoft.jpg?w=608,2021-03-01T02:22:38Z,"Microsoft gets a new leader for its Greater China business. Yang Hou, a former executive at Qualcomm, will take over Alain Crozier as the chairman and chief executive officer for Microsoft Greater Ch… [+78 chars]"
2,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Rita Liao,Rising encrypted app Signal is down in China,"Chinese users of the instant messenger Signal knew that the good times wouldn’t last long. The app, which is used for encrypted conversations, is unavailable in mainland China as of the morning of March 16, a test by TechCrunch shows. The website of the app h…",https://techcrunch.com/wp-content/uploads/2021/03/Screen-Shot-2021-03-12-at-9.56.21-AM.png?w=764,2021-03-16T01:33:42Z,"Chinese users of the instant messenger Signal knew that the good times wouldn’t last long. The app, which is used for encrypted conversations, is unavailable in mainland China as of the morning of Ma… [+1568 chars]"
3,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Rita Liao,Rising encrypted app Signal is down in China,"Chinese users of the instant messenger Signal knew that good time wouldn’t last long. The app, which is used for encrypted chats, is unavailable in mainland China as of Tuesday morning, a test by TechCrunch shows. The website of the app has been banned in Chi…",https://techcrunch.com/wp-content/uploads/2021/03/Screen-Shot-2021-03-12-at-9.56.21-AM.png?w=764,2021-03-16T01:33:42Z,"Chinese users of the instant messenger Signal knew that good time wouldn’t last long. The app, which is used for encrypted chats, is unavailable in mainland China as of Tuesday morning, a test by Tec… [+146 chars]"
4,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,South China Sea dispute: Huge Chinese 'fishing fleet' alarms Philippines,The Philippines asks China to withdraw more than 200 ships from disputed waters in the South China Sea.,https://ichef.bbci.co.uk/news/1024/branded_news/AD1B/production/_117651344_mediaitem117651343.jpg,2021-03-21T15:47:56Z,"image captionThe Philippines released photos of Chinese ships moored at a reef on 7 March
The Philippines has called on China to withdraw more than 200 ships it accuses of encroaching upon its terri… [+2030 chars]"
5,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Rita Liao,China wants to dismantle Alibaba’s media empire: reports,"Over the years, Jack Ma has accumulated a media portfolio in China that rivals that of Jeff Bezos in the United States. But now the future of Ma’s media empire is in the crosshairs of the Chinese government, which is wary of the billionaire’s increasing media…",https://techcrunch.com/wp-content/uploads/2019/05/GettyImages-1081751674-e1594787945110.jpg?w=749,2021-03-16T01:00:24Z,"Over the years, Jack Ma has accumulated a media portfolio in China that rivals that of Jeff Bezos in the United States. But now the future of Ma’s media empire is in the crosshairs of the Chinese gov… [+2076 chars]"
6,"{'id': 'engadget', 'name': 'Engadget'}",Jon Fingas,"China five-year plan aims for supremacy in AI, quantum computing","China's tech industry has been hit hard by US trade battles and the economic uncertainties of the pandemic, but it's eager to bounce back in the relatively near future. According to the Wall Street Journal, the country used its annual party meeting to outline…",https://s.yimg.com/uu/api/res/1.2/tG5BcRP87Q0hsapSMZLwAQ--~B/aD0zNDEyO3c9NTQwMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2021-03/72abf6b0-7f91-11eb-9a27-fd00ec45aa19.cf.jpg,2021-03-07T22:56:18Z,"China's tech industry has been hit hard by US trade battles and the economic uncertainties of the pandemic, but it's eager to bounce back in the relatively near future. According to the Wall Street J… [+1218 chars]"
7,"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,Russia and China want to build an 'international' station on the Moon,"Russia and China plan to work together to build a research station on the Moon. In an announcement
 spotted by ArsTechnica
, the two countries said they will collaborate on an “International Lunar Science Station.” There aren’t many details on the project y…",https://s.yimg.com/uu/api/res/1.2/0WLdbQhWD.NFr1UruUof_g--~B/aD0xNjM2O3c9MjQ0NjthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2021-03/9905ebd0-80ff-11eb-8efe-5dd816f6ac03.cf.jpg,2021-03-09T18:10:21Z,"Russia and China plan to work together to build a research station on the Moon. In an announcement
 spotted by ArsTechnica
, the two countries said they will collaborate on an International Lunar S… [+951 chars]"
8,"{'id': 'mashable', 'name': 'Mashable'}",PCMag,China starts blocking Signal encrypted messaging app,"China is now blocking encrypted chat app Signal, preventing those in the region from sending messages free of government monitoring. 
On Tuesday, users in the country began reporting they were no longer able to send or receive texts via the Signal app. Access…",https://mondrian.mashable.com/2021%252F03%252F16%252F2c%252F21b438a2d0a24f04961887112dd5c7ca.3cb78.jpg%252F1200x630.jpg?signature=SaIBL1-nMoIbCmARbthr7V7tkWM=,2021-03-16T21:37:57Z,"China is now blocking encrypted chat app Signal, preventing those in the region from sending messages free of government monitoring. 
On Tuesday, users in the country began reporting they were no lo… [+1745 chars]"
9,"{'id': None, 'name': 'New York Times'}",Tariq Panja,I.O.C. Will Buy Coronavirus Vaccines From China,The agreement with a powerful Olympic partner may help reassure a skeptical Japanese population fearful of thousands of visitors to this summer’s Games.,https://static01.nyt.com/images/2021/03/11/sports/11ioc-olympics/11ioc-olympics-facebookJumbo.jpg,2021-03-11T15:43:05Z,"In what amounts to a public relations coup for China and a solution to a problem for the International Olympic Committee, the I.O.C. president Thomas Bach announced on Thursday that China has agreed … [+1537 chars]"
