,source,author,title,description,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Lifehacker.com'}",Brendan Hesse,How to Find an Apple Product's 'Reparability Score',"Thanks to new economic regulations in France, it’s now easier to judge the reparability of Apple’s products anywhere in the world.Read more...","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/mnnxu7yabssxbd3jvaog.jpg",2021-03-01T20:00:00Z,"Thanks to new economic regulations in France, its now easier to judge the reparability of Apples products anywhere in the world.
Starting in 2022, France will require all companies to provide repara… [+2001 chars]"
1,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Lomas,France’s competition authority declines to block Apple’s opt-in consent for iOS app tracking,Apple has fended off an attempt by advertisers in France to use a competition complaint route to derail incoming pro-privacy changes in iOS that will require third party apps to obtain users’ consent before they can track them. The French competition authorit…,https://techcrunch.com/wp-content/uploads/2020/06/Screen-Shot-2020-06-22-at-1.55.14-PM.jpg?w=710,2021-03-17T16:58:30Z,Apple has fended off an attempt by advertisers in France to use a competition complaint route to derail incoming pro-privacy changes in iOS that will require third party apps to obtain users’ consent… [+3731 chars]
2,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,The vaccine misinformation battle raging in France,Online conspiracy theories are exacerbating existing vaccine scepticism.,https://ichef.bbci.co.uk/news/1024/branded_news/15253/production/_117711668_gettyimages-1229955814.jpg,2021-03-27T01:04:56Z,"BBC TrendingIn-depth reporting on social media
image copyrightGetty Images
France is one of the most vaccine-sceptical countries in the world - fertile ground for hard-line anti-vaccine activists s… [+8064 chars]"
3,"{'id': None, 'name': 'New York Times'}",Jesse Green,Should the American Theater Take French Lessons?,"Arts workers are protesting closings and occupying playhouses all over France. On Broadway, that drama has yet to open.",https://static01.nyt.com/images/2021/03/18/arts/17theater-protest1/17theater-protest1-facebookJumbo.jpg,2021-03-17T19:20:55Z,"Behind the statistics is an abiding strain of prejudice, dating back to the Puritan settlement, that sees cultural work, especially stage acting, as a species of childs play or worse. In An Essay on … [+1943 chars]"
4,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,France seeks Unesco heritage status for the baguette,France has nominated the baguette for inclusion on Unesco's intangible cultural heritage register.,https://ichef.bbci.co.uk/news/1024/branded_news/150CE/production/_117722268_mediaitem117722264.jpg,2021-03-26T18:03:39Z,"image captionThe status is designed to protect traditions, knowledge and skills, so they are not lost over time
When you think of Unesco heritage status, Stonehenge, the Taj Mahal or the Great Barri… [+1871 chars]"
5,"{'id': 'bbc-news', 'name': 'BBC News'}",,France coach Galthie backed despite leaving bubble to watch son play rugby,France coach Fabien Galthie is backed by his federation despite getting Covid-19 after leaving the squad's bubble.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/17C86/production/_117341479_gettyimages-1211154384.jpg,2021-03-01T12:16:07Z,"Galthie (left) and Laporte - a former France coach himself - have worked together for many years
France head coach Fabien Galthie has been backed by his federation despite leaving the squad's bubble… [+1429 chars]"
6,"{'id': 'bbc-news', 'name': 'BBC News'}",,Powerhouse centre Vakatawa back in France team to face England,France welcome back centre Virimi Vakatawa into the starting XV to face England at Twickenham in the Six Nations on Saturday.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/174B5/production/_117531459_vakatawa_getty.jpg,2021-03-11T12:22:06Z,"Virimi Vakatawa (left) and Romain Ntamack, who started France's win over England in last year's Six Nations, are both back from injury
<table><tr><th>Guinness Six Nations: England v France</th></tr>… [+1434 chars]"
7,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Covid: France and Poland increase lockdown measures as infections surge,"Some 21 million people in France are affected, while in Poland shops and hotels are shut nationwide.",https://ichef.bbci.co.uk/news/1024/branded_news/1846/production/_117641260_64e5e86f-9cb7-4ab6-bc5a-16416e058a75.jpg,2021-03-20T03:21:58Z,"image captionIn France, the new restrictions are not as strict as the previous lockdown
France and Poland have reintroduced partial lockdowns as both countries battle a sharp rise in Covid infection… [+4344 chars]"
8,"{'id': None, 'name': 'New York Times'}",Gisela Williams,A Provençal Estate That Is a Home and a Gallery,"Near Grasse, France, an Italian curator has created a rustic residence and an outdoor exhibition space dedicated to the work of artists she admires.",https://static01.nyt.com/images/2021/03/02/t-magazine/02tmag-valentina-slide-RBPK/02tmag-valentina-slide-RBPK-facebookJumbo.jpg,2021-03-02T13:00:07Z,"GROWING UP IN Florence, Italy, the curator Valentina Guidi Ottobri was surrounded by architectural wonders: Here was the striking 12th-century black-and-white Baptistery of St. John the Baptist; ther… [+5527 chars]"
9,"{'id': 'bbc-news', 'name': 'BBC News'}",,Rugby Union: France deny Wales at the death,France inflict heartbreak on Wales as they seal late victory in dramatic fashion to deny Wayne Pivac's side a Grand Slam in Paris.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/1AE4/production/_117648860_france_joy_getty.jpg,2021-03-20T22:04:57Z,"<table><tr><th>Guinness Six Nations: France v Wales</th></tr>
<tr><td>France (17) 32</td></tr><tr><td>Tries: Taofifenua, Dupont, Ollivon, Dulin Cons: Jalibert 2, Ntamack Pens: Ntamack 2</td></tr><tr… [+2295 chars]"
