,source,author,title,description,urlToImage,publishedAt,content
0,"{'id': 'the-verge', 'name': 'The Verge'}",Adi Robertson,India will reportedly introduce bill to make owning cryptocurrency illegal,"India’s legislature is reportedly considering a near-total ban on private cryptocurrencies like Bitcoin or Ethereum, including owning the virtual currency. The government has discussed plans for a national digital currency as an alternative.",https://cdn.vox-cdn.com/thumbor/IdgNJaOIQBsN8QbQcH2MDU6sAUA=/0x243:2040x1311/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10432811/mdoying_180308_2373_0091still.jpg,2021-03-15T22:25:02Z,"One of the strictest crackdowns worldwide
Photo by Michele Doying / The Verge
India is reportedly moving forward with a sweeping ban on cryptocurrencies. According to Reuters, the countrys legislat… [+1656 chars]"
1,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Amazon issues rare apology in India over drama series,"Amazon on Tuesday issued a rare apology to users in India for an original political drama series over allegations that a few scenes in the nine-part mini series hurt religious sentiments of some people in the key overseas market. The series, called “Tandav,” …",https://techcrunch.com/wp-content/uploads/2021/03/GettyImages-1230706328.jpg?w=599,2021-03-02T18:29:09Z,Amazon on Tuesday issued a rare apology to users in India for an original political drama series over allegations that a few scenes in the nine-part mini series hurt religious sentiments of some peop… [+3139 chars]
2,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Indian beauty e-commerce Purplle raises $45 million,"Purplle, an e-commerce platform for beauty products in India, said on Monday it has raised $45 million in a new financing round as it looks to expand its presence in the world’s second largest internet market. The new round, a Series D, was financed by Sequoi…",https://techcrunch.com/wp-content/uploads/2021/03/purplle.jpg?w=600,2021-03-23T00:08:10Z,"Purplle, an e-commerce platform for beauty products in India, said on Monday it has raised $45 million in a new financing round as it looks to expand its presence in the worlds second largest interne… [+2173 chars]"
3,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Ron Miller,ServiceNow takes RPA plunge by acquiring India-based startup Intellibot,"ServiceNow became the latest company to take the robotic process automation (RPA) plunge when it announced it was acquiring Intellibot, an RPA startup based in Hyderabad, India. The companies did not reveal the purchase price. The purchase comes at a time whe…",https://techcrunch.com/wp-content/uploads/2021/03/GettyImages-1215161063-1.jpg?w=711,2021-03-23T12:00:48Z,"ServiceNow became the latest company to take the robotic process automation (RPA) plunge when it announced it was acquiring Intellibot, an RPA startup based in Hyderabad, India. The companies did not… [+2423 chars]"
4,"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,"India Looks to Criminalize Trading, Mining, and Holding Cryptocurrencies: Report","A proposed law in India would make it a crime to mine, trade, or even hold cryptocurrencies like bitcoin in the country, according to a new report from Reuters citing a senior government official. It’s estimated roughly 8 million people in India hold some for…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/uvoltaxovjhfhb5x5ozr.jpg",2021-03-15T09:15:00Z,"A proposed law in India would make it a crime to mine, trade, or even hold cryptocurrencies like bitcoin in the country, according to a new report from Reuters citing a senior government official. It… [+1725 chars]"
5,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Mascarenhas,Veera Health wants to help women in India navigate polycystic ovary syndrome,"Polycystic ovary syndrome, or PCOS, is a common disorder that can cause irregular periods, infertility or gestational diabetes in women. And the condition is far from rare: PCOS impacts one in 10 women, meaning there’s a big market of people out there that wa…",https://techcrunch.com/wp-content/uploads/2019/07/GettyImages-968151038.jpg?w=501,2021-03-24T18:07:57Z,"Polycystic ovary syndrome, or PCOS, is a common disorder that can cause irregular periods, infertility or gestational diabetes in women. And the condition is far from rare: PCOS impacts one in 10 wom… [+3429 chars]"
6,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Google unveils $25 million in grants aimed at empowering women and girls,"Google announced a range of programs as well as grants worth $25 million on Monday to fund works of nonprofits and social enterprises that are committed to empower women and girls. The effort, unveiled on Internet Women’s Day, is aimed at addressing systemic …",https://techcrunch.com/wp-content/uploads/2021/03/google-internet-saathi.jpg?w=651,2021-03-08T05:53:40Z,"Google announced a range of programs as well as grants worth $25 million on Monday to fund works of nonprofits and social enterprises that are committed to empower women and girls.
The effort, unvei… [+1932 chars]"
7,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Cashify raises $15 million for its second-hand smartphone business in India,"Tens of millions of people each year purchase a second-hand smartphone in India, the world’s second largest market. Phone makers and giant online sellers such as Amazon and Flipkart are aware of it, but it’s too much of a hassle for them to inspect, repair, a…",https://techcrunch.com/wp-content/uploads/2021/03/GettyImages-1052136016.jpg?w=600,2021-03-03T22:26:45Z,"Tens of millions of people each year purchase a second-hand smartphone in India, the world’s second largest market. Phone makers and giant online sellers such as Amazon and Flipkart are aware of it, … [+3720 chars]"
8,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Coronavirus: India temporarily halts Oxford-AstraZeneca vaccine exports,"The doses are needed for the country's own rollout amid a rise in cases, officials tell the BBC.",https://ichef.bbci.co.uk/news/1024/branded_news/14DD3/production/_117695458_gettyimages-1231883944.jpg,2021-03-24T18:00:09Z,"image captionThe country's largest vaccine maker has already delayed deliveries to Brazil and the UK
India has placed a temporary hold on all exports of the Oxford-AstraZeneca coronavirus vaccine, f… [+3165 chars]"
9,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,India coronavirus: The high-risk young demanding Covid jabs,Cancer patients who are under the age of 45 are struggling to get Covid jabs in India.,https://ichef.bbci.co.uk/news/1024/branded_news/ABAF/production/_117715934_whatsappimage2021-03-24at7.32.15am.jpg,2021-03-28T00:29:05Z,"By Vikas PandeyBBC News, Delhi
image captionShikha Goel was diagnosed with breast cancer three months ago
When 37-year-old Shikha Goel was diagnosed with breast cancer three months ago, life came t… [+7702 chars]"
10,"{'id': 'bbc-news', 'name': 'BBC News'}",,More pitch talk in media than by England players - Leach,"England's Jack Leach agrees with India spinner Ravichandran Ashwin's comments that ""we need to get over"" the debate over pitches.",https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/12330/production/_117344547_jack_leach_bcci3.jpg,2021-03-01T16:17:24Z,"Jack Leach (left) has taken 60 wickets at an average of 29.50 in 15 Tests
There has been more debate over the Indian pitches in the media than by the England players, says spinner Jack Leach.
The s… [+1625 chars]"
